sensor, 0.0030,-0.0131,-0.0227
sensor, -0.0193,-0.0078,-0.0163
sensor, -0.0321,0.0114,0.0050
sensor, -0.0193,0.0007,0.0008
sensor, 0.0020,-0.0238,-0.0099
sensor, 0.0339,-0.0344,-0.0110
sensor, 0.0488,-0.0472,0.0061
sensor, 0.0094,-0.0270,0.0274
sensor, -0.0300,0.0050,0.0327
sensor, -0.0108,0.0039,0.0199
sensor, 0.0243,-0.0131,-0.0078
sensor, 0.0179,-0.0046,0.0008
sensor, -0.0130,0.0220,0.0252
sensor, -0.0215,0.0295,0.0402
sensor, -0.0087,0.0220,0.0157
sensor, 0.0179,-0.0067,-0.0270
sensor, 0.0169,-0.0184,-0.0291
sensor, -0.0172,0.0156,0.0018
sensor, -0.0172,0.0306,0.0103
sensor, -0.0012,0.0135,-0.0206
sensor, 0.0094,-0.0035,-0.0280
sensor, -0.0044,0.0103,-0.0035
sensor, -0.0268,0.0306,0.0242
sensor, -0.0311,0.0306,0.0103
