Acce X,Acce Y,Acce Z,Gyro X,Gyro Y,Gyro Z,Quat x,Quat y,Quat z,Quat w,Mag X,MagY,Mag Z
0.0608,0.0358,-0.0146,0.0062,-0.0058,-0.0091,-0.2474,0.406,0.5445,0.691,50.8514,6.4697,11.5433
0.0492,0.0236,-0.0565,0.0052,-0.0026,-0.0101,-0.2474,0.406,0.5445,0.691,49.4537,5.7724,13.5834
0.0458,-0.0097,-0.0315,0.0041,-0.0101,-0.0144,-0.2475,0.4059,0.5448,0.6908,49.4537,5.7724,13.5834
0.0298,-0.0314,-0.0241,0.0009,-0.009,-0.0176,-0.2476,0.4059,0.5448,0.6908,49.4537,5.7724,13.5834
0.0068,-0.0596,0.0003,0.0009,-0.009,-0.0186,-0.2476,0.4058,0.5448,0.6908,49.4537,5.7724,13.5834
0.0127,-0.1021,-0.0019,-0.0012,-0.0111,-0.0154,-0.2477,0.4058,0.5448,0.6908,48.0576,6.4697,12.2238
0.0698,-0.1425,-0.0217,-0.0066,-0.0122,-0.0112,-0.2478,0.4056,0.545,0.6907,48.0576,6.4697,12.2238
0.0548,-0.1114,0.0078,-0.0087,-0.0143,-0.0112,-0.2479,0.4055,0.545,0.6907,48.0576,6.4697,12.2238
0.0606,-0.1298,-0.0285,-0.014,-0.0196,-0.0069,-0.248,0.4054,0.5451,0.6907,48.0576,6.4697,12.2238
0.0138,-0.151,-0.0076,-0.0204,-0.0218,-0.0069,-0.248,0.4053,0.5451,0.6907,48.0576,6.4697,10.1852
-0.046,-0.1129,0.0307,-0.0247,-0.025,-0.0037,-0.2482,0.4052,0.5452,0.6906,48.0576,6.4697,10.1852
-0.1125,-0.1188,0.0109,-0.0247,-0.025,-0.0037,-0.2483,0.405,0.5453,0.6906,48.0576,6.4697,10.1852
-0.1532,-0.0725,0.0023,-0.0332,-0.0218,-0.0016,-0.2483,0.4049,0.5453,0.6906,48.0576,6.4697,10.1852
-0.1478,-0.0802,0.0252,-0.0375,-0.0143,0.0048,-0.2484,0.4048,0.5454,0.6906,49.4537,6.4697,12.9028
-0.1628,-0.063,0.0208,-0.0385,-0.0101,0.0091,-0.2486,0.4047,0.5456,0.6905,49.4537,6.4697,12.9028
-0.1548,-0.07,0.0512,-0.0406,-0.009,0.0144,-0.2487,0.4047,0.5456,0.6905,49.4537,6.4697,12.9028
-0.176,-0.0591,0.0526,-0.0428,0.0006,0.0261,-0.2487,0.4046,0.5456,0.6905,49.4537,6.4697,12.9028
-0.1925,-0.033,0.0426,-0.0449,0.0049,0.0282,-0.2488,0.4046,0.5456,0.6905,50.1526,6.4697,12.2238
-0.1938,0.0148,0.093,-0.0449,0.0145,0.0282,-0.2489,0.4045,0.5457,0.6903,50.1526,6.4697,12.2238
-0.1616,-0.0101,0.0847,-0.0428,0.023,0.025,-0.2489,0.4046,0.5457,0.6903,50.1526,6.4697,12.2238
-0.1725,0.0249,0.1301,-0.0449,0.0304,0.0229,-0.249,0.4046,0.5457,0.6903,50.1526,6.4697,12.2238
-0.1322,0.0322,0.1352,-0.0438,0.0336,0.0197,-0.249,0.4046,0.5457,0.6903,49.4537,5.7724,12.9028
-0.1001,0.0753,0.0981,-0.0428,0.0379,0.0133,-0.2492,0.4046,0.5459,0.6901,49.4537,5.7724,12.9028
-0.0951,0.0563,0.1116,-0.0428,0.0421,0.0059,-0.2492,0.4046,0.5458,0.6901,49.4537,5.7724,12.9028
-0.1064,0.1029,0.1464,-0.0385,0.0443,0.0005,-0.2493,0.4047,0.5458,0.6901,49.4537,5.7724,12.9028
-0.1337,0.1322,0.1428,-0.0321,0.0507,-0.0037,-0.2493,0.4047,0.5458,0.6901,49.4537,7.1686,10.8643
-0.1438,0.1385,0.172,-0.0257,0.056,-0.0037,-0.2494,0.4048,0.5457,0.69,49.4537,7.1686,10.8643
-0.1951,0.0863,0.1649,-0.0193,0.0635,-0.0005,-0.2494,0.4049,0.5457,0.69,49.4537,7.1686,10.8643
-0.2067,0.105,0.1996,-0.0119,0.0677,0.0027,-0.2495,0.405,0.5456,0.69,49.4537,7.1686,10.8643
-0.2988,0.1005,0.1747,-0.0044,0.0752,0.0122,-0.2496,0.4051,0.5456,0.6899,49.4537,6.4697,11.5433
-0.3408,0.0688,0.2133,0.0041,0.088,0.0186,-0.2497,0.4052,0.5457,0.6897,49.4537,6.4697,11.5433
-0.3721,0.0615,0.2639,0.0116,0.1007,0.025,-0.2498,0.4054,0.5456,0.6896,49.4537,6.4697,11.5433
-0.4078,0.0247,0.2251,0.0169,0.1135,0.0304,-0.2499,0.4056,0.5456,0.6895,49.4537,6.4697,11.5433
-0.3513,0.035,0.2693,0.019,0.1306,0.0346,-0.25,0.4058,0.5456,0.6893,50.1526,7.1686,12.2238
-0.3273,0.0328,0.2752,0.0201,0.1455,0.0368,-0.2501,0.4061,0.5456,0.6891,50.1526,7.1686,12.2238
-0.3242,-0.0228,0.2212,0.0179,0.1551,0.0336,-0.2502,0.4064,0.5455,0.6889,50.1526,7.1686,12.2238
-0.2999,-0.0053,0.1927,0.0158,0.1657,0.0346,-0.2504,0.4067,0.5455,0.6887,50.1526,7.1686,12.2238
-0.3332,0.0066,0.1944,0.0126,0.1785,0.0346,-0.2506,0.407,0.5454,0.6885,50.8514,5.7724,10.8643
-0.3897,-0.0237,0.1984,0.0083,0.1913,0.0336,-0.2509,0.4073,0.5455,0.6882,50.8514,5.7724,10.8643
-0.5556,-0.022,0.207,0.0073,0.2094,0.0368,-0.2511,0.4076,0.5454,0.6879,50.8514,5.7724,10.8643
-0.7585,-0.0499,0.2069,0.0073,0.2382,0.0399,-0.2514,0.408,0.5454,0.6877,50.8514,5.7724,10.8643
-0.9552,-0.0025,0.2643,0.0062,0.2765,0.0474,-0.2518,0.4085,0.5452,0.6873,49.4537,5.7724,13.5834
-1.0836,-0.0061,0.298,0.0083,0.3212,0.0527,-0.2523,0.409,0.5453,0.6868,49.4537,5.7724,13.5834
-1.1923,0.037,0.3347,0.0083,0.3212,0.0527,-0.2528,0.4097,0.5451,0.6864,49.4537,5.7724,13.5834
-1.225,0.0081,0.3962,0.0158,0.4161,0.0538,-0.2533,0.4104,0.5449,0.6859,49.4537,5.7724,13.5834
-1.1593,0.027,0.4599,0.0222,0.4672,0.0495,-0.2539,0.4113,0.5447,0.6853,50.1526,5.0735,11.5433
-1.0335,0.068,0.4512,0.0222,0.5109,0.041,-0.2546,0.4121,0.5447,0.6846,50.1526,5.0735,11.5433
-1.0072,0.0855,0.36,0.0201,0.546,0.0325,-0.2553,0.4131,0.5443,0.684,50.1526,5.0735,11.5433
-0.998,0.0326,0.3337,0.0169,0.5801,0.0218,-0.256,0.4141,0.544,0.6834,50.1526,5.0735,11.5433
-1.1318,0.0726,0.3642,0.0126,0.6216,0.0165,-0.2568,0.4152,0.5436,0.6828,50.1526,7.1686,13.5834
-1.2327,0.065,0.4619,0.0147,0.6717,0.0186,-0.2577,0.4163,0.5432,0.682,50.1526,7.1686,13.5834
-1.3078,0.092,0.5126,0.0179,0.7303,0.0197,-0.2586,0.4176,0.5428,0.6813,50.1526,7.1686,13.5834
-1.2559,0.0734,0.5523,0.0233,0.7878,0.0218,-0.2596,0.4189,0.5423,0.6805,50.1526,7.1686,13.5834
-1.2164,0.0574,0.589,0.0286,0.8347,0.025,-0.2607,0.4203,0.5417,0.6796,48.0576,7.1686,14.2624
-1.0902,0.061,0.5753,0.0318,0.8794,0.024,-0.2618,0.4218,0.5412,0.6787,48.0576,7.1686,14.2624
-0.8689,0.0648,0.6579,0.0297,0.921,0.0197,-0.2629,0.4234,0.5406,0.6778,48.0576,7.1686,14.2624
-0.6008,0.0478,0.6396,0.0318,0.9529,0.0133,-0.2641,0.425,0.54,0.6768,48.0576,7.1686,14.2624
-0.3285,0.0412,0.6559,0.0329,0.9743,0.0027,-0.2653,0.4266,0.5394,0.6758,48.7549,7.1686,14.2624
-0.0597,0.0452,0.6274,0.0307,0.9817,-0.0069,-0.2665,0.4282,0.5388,0.6748,48.7549,7.1686,14.2624
0.2036,0.0507,0.5559,0.0265,0.9775,-0.024,-0.2677,0.4297,0.5382,0.6738,48.7549,7.1686,14.2624
0.3649,0.0056,0.5222,0.0222,0.9721,-0.0357,-0.269,0.4313,0.5375,0.6728,48.7549,7.1686,14.2624
0.4449,-0.0193,0.4875,0.0222,0.9721,-0.0357,-0.2702,0.4328,0.5369,0.6719,48.0576,8.5663,17.6605
0.4922,-0.0381,0.4492,0.019,0.9551,-0.0453,-0.2714,0.4343,0.5362,0.671,48.0576,8.5663,17.6605
