Acce X,Acce Y,Acce Z,Gyro X,Gyro Y,Gyro Z,Quat x,Quat y,Quat z,Quat w,Mag X,MagY,Mag Z
-0.1482,0.0613,0.1568,-0.014,-0.1262,0.0112,-0.4688,0.6579,0.3892,0.4426,20.8176,7.1686,49.6063
-0.1631,0.0536,0.1288,-0.013,-0.1219,0.0112,-0.4687,0.6577,0.3895,0.4429,20.8176,7.1686,49.6063
-0.0986,0.032,0.1854,-0.0098,-0.1176,0.0112,-0.4685,0.6575,0.3897,0.4431,20.8176,7.1686,49.6063
-0.0801,0.0652,0.1266,-0.0066,-0.1155,0.0133,-0.4684,0.6573,0.39,0.4433,20.8176,7.1686,49.6063
-0.0645,0.0961,0.1336,-0.0066,-0.1166,0.0165,-0.4682,0.6572,0.3902,0.4435,22.9126,7.1686,49.6063
-0.0832,0.1066,0.1887,-0.0044,-0.1176,0.0186,-0.468,0.657,0.3904,0.4437,22.9126,7.1686,49.6063
-0.0952,0.1419,0.1425,-0.0023,-0.1144,0.0165,-0.4678,0.6569,0.3907,0.4439,22.9126,7.1686,49.6063
-0.1384,0.1372,0.1486,0.0041,-0.1144,0.0133,-0.4675,0.6568,0.3909,0.4441,22.9126,7.1686,49.6063
-0.1446,0.1448,0.1204,0.0073,-0.1081,0.0101,-0.4673,0.6567,0.3911,0.4444,23.6115,7.1686,48.2468
-0.138,0.146,0.096,0.0094,-0.1017,0.0027,-0.467,0.6566,0.3913,0.4446,23.6115,7.1686,48.2468
-0.1259,0.1383,0.1191,0.0116,-0.0985,-0.0027,-0.4668,0.6565,0.3915,0.4448,23.6115,7.1686,48.2468
-0.0755,0.1055,0.1005,0.0147,-0.0942,-0.0101,-0.4666,0.6564,0.3916,0.445,23.6115,7.1686,48.2468
-0.0392,0.0925,0.0958,0.0169,-0.091,-0.0176,-0.4665,0.6563,0.3917,0.4452,22.2153,7.1686,49.6063
-0.027,0.0877,0.0571,0.0158,-0.091,-0.025,-0.4664,0.6562,0.3919,0.4454,22.2153,7.1686,49.6063
-0.0249,0.0916,0.021,0.0158,-0.091,-0.0336,-0.4663,0.6561,0.392,0.4456,22.2153,7.1686,49.6063
-0.0345,0.0538,-0.0008,0.0179,-0.0878,-0.041,-0.4662,0.656,0.392,0.4458,22.2153,7.1686,49.6063
-0.0023,-0.0261,-0.0032,0.0201,-0.091,-0.0453,-0.4661,0.6558,0.392,0.446,22.2153,7.1686,49.6063
0.0488,-0.078,-0.0452,0.0211,-0.0931,-0.0431,-0.4661,0.6557,0.3921,0.4462,22.2153,7.1686,49.6063
