Timestamp,Acce X,Acce Y,Acce Z,Gyro X,Gyro Y,Gyro Z,Quat x,Quat y,Quat z,Quat w,Mag X,MagY,Mag Z
170144049,0.2411,0.0348,-0.1918,-0.0151,-0.3381,-0.0112,-0.4666,0.6499,0.3995,0.4476,20.8176,4.3747,48.2468
170144054,0.2265,-0.0038,-0.2201,-0.014,-0.3477,-0.0112,-0.4663,0.6496,0.3998,0.4481,23.6115,5.7724,48.2468
170144059,0.2186,0.0099,-0.1597,-0.0151,-0.3573,-0.0101,-0.466,0.6492,0.4002,0.4485,23.6115,5.7724,48.2468
170144064,0.2702,-0.0035,-0.2298,-0.0161,-0.3658,-0.0059,-0.4657,0.6488,0.4006,0.4491,23.6115,5.7724,48.2468
170144069,0.2692,0.0101,-0.1937,-0.0183,-0.3765,-0.0037,-0.4654,0.6485,0.401,0.4496,23.6115,5.7724,48.2468
170144074,0.3675,0.0646,-0.1933,-0.0183,-0.3914,-0.0048,-0.4651,0.6481,0.4014,0.4501,22.9126,5.7724,48.9273
170144079,0.4071,0.1348,-0.1888,-0.0161,-0.4063,-0.008,-0.4648,0.6476,0.4019,0.4506,22.9126,5.7724,48.9273
170144084,0.4325,0.1347,-0.1916,-0.014,-0.4266,-0.0112,-0.4644,0.6473,0.4023,0.4512,22.9126,5.7724,48.9273
170144089,0.4465,0.157,-0.1833,-0.0119,-0.4436,-0.0154,-0.4639,0.6469,0.4028,0.4518,22.9126,5.7724,48.9273
170144094,0.4091,0.1748,-0.1567,-0.0034,-0.4585,-0.0229,-0.4634,0.6465,0.4032,0.4524,22.9126,5.7724,46.2082
170144099,0.3609,0.1671,-0.1366,0.003,-0.4713,-0.0293,-0.463,0.646,0.4037,0.4531,22.9126,5.7724,46.2082
170144104,0.3237,0.1394,-0.176,0.0083,-0.4841,-0.0325,-0.4625,0.6456,0.4042,0.4538,22.9126,5.7724,46.2082
170144109,0.2723,0.1249,-0.178,0.0158,-0.4979,-0.0336,-0.462,0.6451,0.4047,0.4546,22.9126,5.7724,46.2082
170144114,0.2837,0.0992,-0.1673,0.019,-0.5256,-0.0314,-0.4615,0.6446,0.4051,0.4554,22.2153,5.0735,48.2468
170144119,0.23,0.0814,-0.1883,0.0233,-0.5342,-0.0304,-0.4611,0.644,0.4058,0.4561,22.2153,5.0735,48.2468
170144124,0.2116,0.0785,-0.1682,0.0254,-0.5459,-0.0272,-0.4606,0.6434,0.4063,0.457,22.2153,5.0735,48.2468
170144129,0.2159,0.0818,-0.1579,0.0275,-0.5565,-0.0261,-0.46,0.6429,0.4068,0.4579,22.2153,5.0735,48.2468
170144134,0.2345,0.0643,-0.1845,0.0307,-0.5682,-0.0261,-0.4594,0.6423,0.4073,0.4588,24.3103,6.4697,48.2468
170144139,0.2934,0.0964,-0.2182,0.0318,-0.5789,-0.0293,-0.4589,0.6417,0.4078,0.4597,24.3103,6.4697,48.2468
170144144,0.2964,0.0989,-0.1373,0.0339,-0.5906,-0.0293,-0.4583,0.6412,0.4084,0.4606,24.3103,6.4697,48.2468
170144149,0.2888,0.0635,-0.2059,0.0361,-0.6066,-0.0314,-0.4576,0.6406,0.4089,0.4616,24.3103,6.4697,48.2468
170144154,0.3668,0.1179,-0.2007,0.0392,-0.6236,-0.0336,-0.457,0.64,0.4095,0.4626,25.7065,4.3747,46.8872
170144159,0.384,0.075,-0.2204,0.0403,-0.6375,-0.0336,-0.4565,0.6392,0.4102,0.4634,25.7065,4.3747,46.8872
170144164,0.3772,0.0788,-0.1937,0.0435,-0.6556,-0.0325,-0.4558,0.6386,0.4107,0.4645,25.7065,4.3747,46.8872
170144169,0.3829,0.0607,-0.2023,0.0478,-0.6705,-0.0336,-0.4551,0.6379,0.4113,0.4655,25.7065,4.3747,46.8872
170144174,0.4132,0.0446,-0.1712,0.0478,-0.6886,-0.0325,-0.4544,0.6372,0.4119,0.4666,25.7065,5.0735,46.8872
170144179,0.4086,0.0387,-0.2387,0.0499,-0.7099,-0.0325,-0.4539,0.6364,0.4126,0.4677,25.7065,5.0735,46.8872
170144184,0.4309,0.0341,-0.2326,0.0531,-0.7291,-0.0336,-0.4531,0.6357,0.4133,0.4689,25.7065,5.0735,46.8872
170144189,0.4219,0.0498,-0.251,0.0531,-0.7483,-0.0336,-0.4523,0.6349,0.4139,0.4701,25.7065,5.0735,46.8872
170144194,0.4244,0.0097,-0.2571,0.0542,-0.7664,-0.0325,-0.4516,0.6341,0.4146,0.4713,26.4053,4.3747,46.8872
170144199,0.3972,0.0018,-0.2503,0.0563,-0.7845,-0.0304,-0.451,0.6331,0.4155,0.4724,26.4053,4.3747,46.8872
170144204,0.3707,0.0125,-0.2582,0.0542,-0.8026,-0.0314,-0.4502,0.6323,0.4162,0.4737,26.4053,4.3747,46.8872
170144209,0.3968,0.0458,-0.2529,0.0542,-0.8186,-0.0325,-0.4493,0.6314,0.4169,0.475,26.4053,4.3747,46.8872
170144214,0.4925,0.0611,-0.3079,0.0584,-0.841,-0.0389,-0.4484,0.6305,0.4177,0.4764,27.803,5.0735,46.2082
170144219,0.5994,0.0772,-0.2926,0.0584,-0.8676,-0.0474,-0.4477,0.6295,0.4185,0.4777,27.803,5.0735,46.2082
170144224,0.6675,0.0977,-0.2949,0.0584,-0.8995,-0.0517,-0.4468,0.6285,0.4193,0.4791,27.803,5.0735,46.2082
170144229,0.6848,0.1116,-0.3377,0.0616,-0.9347,-0.0527,-0.4458,0.6276,0.4201,0.4806,27.803,5.0735,46.2082
170144234,0.7152,0.1503,-0.2957,0.0669,-0.9656,-0.0559,-0.4448,0.6265,0.4209,0.4821,27.803,6.4697,46.2082
170144239,0.7157,0.1734,-0.2915,0.0733,-0.9986,-0.0559,-0.4438,0.6255,0.4218,0.4836,27.803,6.4697,46.2082
170144244,0.7335,0.1745,-0.3475,0.0776,-1.0284,-0.0549,-0.4427,0.6244,0.4227,0.4853,27.803,6.4697,46.2082
170144249,0.7484,0.1531,-0.375,0.0861,-1.0668,-0.0549,-0.4416,0.6233,0.4236,0.487,27.803,6.4697,46.2082
170144254,0.7563,0.156,-0.3647,0.0914,-1.1009,-0.0538,-0.4404,0.6221,0.4245,0.4887,29.8981,5.0735,44.1696
170144259,0.7329,0.1478,-0.3798,0.0946,-1.1392,-0.0549,-0.4393,0.6208,0.4255,0.4904,29.8981,5.0735,44.1696
170144264,0.7019,0.1426,-0.3988,0.1,-1.1712,-0.0538,-0.438,0.6196,0.4265,0.4923,29.8981,5.0735,44.1696
170144269,0.6233,0.1266,-0.416,0.1032,-1.2021,-0.0506,-0.4367,0.6183,0.4275,0.4942,29.8981,5.0735,44.1696
170144274,0.6197,0.1144,-0.4234,0.1085,-1.2287,-0.0474,-0.4353,0.617,0.4285,0.4962,29.8981,6.4697,44.8486
170144279,0.5388,0.1207,-0.4425,0.1127,-1.2553,-0.0474,-0.4339,0.6156,0.4296,0.4982,29.8981,6.4697,44.8486
170144284,0.4989,0.1055,-0.4197,0.116,-1.282,-0.0463,-0.4325,0.6142,0.4307,0.5002,29.8981,6.4697,44.8486
170144289,0.4495,0.108,-0.3836,0.1234,-1.3075,-0.0485,-0.431,0.6128,0.4318,0.5023,29.8981,6.4697,44.8486
170144294,0.4349,0.1383,-0.3295,0.1277,-1.331,-0.0495,-0.4295,0.6113,0.4329,0.5045,30.5954,6.4697,43.4891
170144299,0.4186,0.1187,-0.2875,0.133,-1.3512,-0.0506,-0.428,0.6098,0.434,0.5066,30.5954,6.4697,43.4891
170144304,0.4238,0.1294,-0.237,0.1362,-1.3725,-0.0517,-0.4264,0.6082,0.4352,0.5089,30.5954,6.4697,43.4891
170144309,0.5048,0.1026,-0.2475,0.1362,-1.4002,-0.0506,-0.4247,0.6066,0.4363,0.5111,30.5954,6.4697,43.4891
170144314,0.4553,0.0648,-0.2831,0.1362,-1.4258,-0.0485,-0.4231,0.605,0.4375,0.5134,31.9931,5.7724,42.1295
